X,y
566,891179
622,1076112
684,1284749
752,1566425
827,1880873
909,2272283
999,2731826
1098,3291095
1207,3968394
1327,4807383
1459,5773413
1604,7090250
1764,8564846
1940,10342934
2134,12499458
2347,15035283
2581,18251175
2839,21978234
3122,26605691
3434,32365208
3777,38733764
4154,47003723
4569,56581136
5025,68787851
5527,82650687
6079,100535286
6686,121241282
7354,145254879
8089,175542051
8897,212765219
9786,257252411
10764,309721382
11840,375138041
13024,451197312
14326,542198526
15758,656330114
17333,791448350
19066,953177772
20972,1149982718
23069,1381095497
25375,1668311904
27912,2005457300
30703,2415173943
33773,2906017016
37150,3492098967
40865,4201832147
44951,5043667010
